ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,icao_code,iata_code,gps_code,local_code,coordinates
GR-0033,heliport,Tinos Heliport,7,EU,GR,GR-L,Agios Fokas,null,null,null,null,"37.52942, 25.1834"
GR-0034,heliport,Antiparos Heliport,122,EU,GR,GR-L,Antiparos,null,null,null,null,"37.03245, 25.07673"
GR-0035,heliport,Ios Heliport,256,EU,GR,GR-L,Chora,null,null,null,null,"36.71758, 25.27169"
GR-0036,heliport,Sikinos Heliport,1001,EU,GR,GR-L,Sikinos,null,null,null,null,"36.69987, 25.13073"
GR-0037,heliport,Folegandros Heliport,935,EU,GR,GR-L,Folegandros,null,null,null,null,"36.62112, 24.91912"
GR-0038,heliport,Thirasia Heliport,583,EU,GR,GR-L,Manolas,null,null,null,null,"36.4337, 25.3426"
GR-0039,closed,Anafi Airport (under construction),null,EU,GR,GR-L,Anafi,null,null,null,null,"36.3658, 25.73322"
GR-0040,heliport,Anafi Heliport,973,EU,GR,GR-L,Anafi,null,null,null,null,"36.35641, 25.77269"
GR-0041,heliport,Amorgos Heliport,997,EU,GR,GR-L,Chora,null,null,null,null,"36.83189, 25.89374"
GR-0042,heliport,Koufonisi Heliport,72,EU,GR,GR-L,Koufonisia,null,null,null,null,"36.93606, 25.60122"
GR-0043,heliport,Iraklia Heliport,190,EU,GR,GR-L,Iraklia,null,null,null,null,"36.86276, 25.47286"
GR-0044,heliport,Donousa Heliport,82,EU,GR,GR-L,Donousa,null,null,null,null,"37.09432, 25.79898"
GR-0045,heliport,Agathonisi Heliport,null,EU,GR,GR-L,null,null,null,null,null,"37.4605, 26.97632"
GR-0046,small_airport,Agios Pavlos Airfield,187,EU,GR,GR-B,Kallikrateia,null,null,null,null,"40.366439, 23.051291"
GR-0047,small_airport,Sitagroi Airstrip,299,EU,GR,GR-A,Sitagroi,null,null,null,null,"41.12784, 24.01459"
GR-0048,small_airport,Lechaio Airfield,46,EU,GR,GR-J,Lechaio,null,null,null,null,"37.92649, 22.859559"
GR-0049,small_airport,Margariti Ultralight Airfield,367,EU,GR,GR-D,Margariti,null,null,null,null,"39.37243, 20.4139"
GR-0050,small_airport,Hellenic Sport Aviation Airstrip,305,EU,GR,GR-H,Orchomenus,null,null,null,null,"38.47819, 23.16007"
GR-0051,heliport,Alexandroupoli University Hospital Heliport,228,EU,GR,GR-A,Alexandroupoli,null,null,null,null,"40.86366, 25.80518"
GR-0052,closed,Litochoro Airport,338,EU,GR,GR-B,Litochoro,null,null,null,null,"40.12212, 22.53513"
GR-0053,heliport,Promachi Heliport,591,EU,GR,GR-B,Almopia,null,null,null,null,"41.01355, 22.026351"
GR-0054,heliport,Chalki Heliport (Ελικοδρόμιο Χάλκης),null,EU,GR,GR-L,Chalki,null,null,null,null,"36.217439, 27.61084"
GR-0055,heliport,Lindos Military Area Heliport,null,EU,GR,GR-L,Lindos,null,null,null,null,"36.117715, 28.062136"
GR-0056,closed,Gadouras Airfield,null,EU,GR,GR-L,Archaggelos,null,null,null,null,"36.143088, 28.068028"
GR-0057,heliport,Gadouras Helipad,null,EU,GR,GR-L,Archaggelos,null,null,null,null,"36.138093, 28.070957"
GR-0058,heliport,Tsairi Military Hospital Helipad,null,EU,GR,GR-L,Tsairi,null,null,null,null,"36.389901, 28.201941"
GR-0059,small_airport,Arachthos Airfield,null,EU,GR,GR-D,Arta,null,null,null,null,"39.089002, 20.970647"
GR-0060,heliport,Tilos Heliport,null,EU,GR,GR-L,Megalo Chorio,null,null,null,null,"36.448705, 27.354014"
GR-0061,heliport,Nisiros Heliport,null,EU,GR,GR-L,Nisiros,null,null,null,null,"36.603829, 27.131556"
GR-0062,heliport,Superior Air Helipad,100,EU,GR,GR-I,Spata,null,null,null,null,"37.946873, 23.9033"
GR-0063,heliport,Superior Air Santorini Helipad,173,EU,GR,GR-L,Santorini,null,null,null,null,"36.372263, 25.426028"
GR-0064,closed,Kilkis Airfield,863,EU,GR,GR-B,Kilkis,null,null,null,null,"40.979304, 22.864308"
GR-0065,heliport,Leptokarya Military Heliport,null,EU,GR,GR-B,Leptokarya,null,null,null,null,"40.07228, 22.56698"
GR-0066,heliport,Private Helipad,213,EU,GR,GR-L,Kalafati,null,null,null,null,"37.44137, 25.41084"
GR-0067,heliport,Agios Dimitrios Power Plant Helipad,2224,EU,GR,GR-G,Ellispontos,null,null,null,null,"40.390291, 21.92813"
GR-0068,heliport,Profitis Heliport,562,EU,GR,GR-B,Profitis,null,null,null,null,"40.69356, 23.267647"
GR-0069,heliport,Ptolemaida Bodosakeio General Hospital Heliport,2274,EU,GR,GR-C,Ptolemaida,null,null,null,null,"40.544775, 21.654691"
GR-0070,heliport,Camp I. Chondros Heliport,2425,EU,GR,GR-C,Dimitrios Ypsilantis,null,null,null,null,"40.371732, 21.764549"
GR-0071,heliport,Evexia Rehabilitation Center Thessaloniki Heliport,238,EU,GR,GR-B,Kallikrateia,null,null,null,null,"40.35872, 23.05589"
GR-0072,heliport,Camp Papapetrou Heliport,1932,EU,GR,GR-C,Amyntaio,null,null,null,null,"40.689243, 21.66814"
GR-0073,heliport,Grevena General Hospital Heliport,1757,EU,GR,GR-C,Grevena,null,null,null,null,"40.08887, 21.43984"
GR-0074,heliport,Camp Balanik Heliport,78,EU,GR,GR-B,Litochoro,null,null,null,null,"40.11134, 22.515702"
GR-0075,heliport,Eagles Heliport,164,EU,GR,GR-B,Skala,null,null,null,null,"40.354626, 23.953945"
GR-0076,heliport,Mount Athos Health Center Heliport,1204,EU,GR,GR-AO,Agio Oros (Mount Athos),null,null,null,null,"40.259891, 24.245823"
GR-0077,heliport,Agiou Pavlou Harbor Heliport,7,EU,GR,GR-AO,Agio Oros (Mount Athos),null,null,null,null,"40.15866, 24.28249"
GR-0078,heliport,Mikra Agia Anna Heliport,1195,EU,GR,GR-AO,Agio Oros (Mount Athos),null,null,null,null,"40.130587, 24.297042"
GR-0079,heliport,Agia Anna Heliport,1010,EU,GR,GR-AO,Agio Oros (Mount Athos),null,null,null,null,"40.14109, 24.29676"
GR-0080,heliport,Megisti Lavra Monastery Heliport,525,EU,GR,GR-AO,Agio Oros (Mount Athos),null,null,null,null,"40.17149, 24.38132"
GR-0081,heliport,Krystallopigi Border Crossing Heliport,3476,EU,GR,GR-C,Prespes,null,null,null,null,"40.62212, 21.05763"
GR-0082,closed,Palama Airfield,302,EU,GR,GR-E,Palamas,null,null,null,null,"39.46353, 22.0589"
GR-0083,heliport,Ellinopyrgos Heliport,1690,EU,GR,GR-E,Mouzaki,null,null,null,null,"39.403352, 21.73966"
GR-0084,closed,Chamokerasa Airfield,988,EU,GR,GR-A,Nikiforos,null,null,null,null,"41.18874, 24.36659"
GR-0085,closed,Asimenio Airstrip,138,EU,GR,GR-A,Didymoteicho,null,null,null,null,"41.40236, 26.54839"
GR-0086,heliport,Costa Navarino Heliport,null,EU,GR,GR-J,null,null,null,null,null,"36.938325, 21.716473"
GR-0087,heliport,424 General Hospital Heliport,null,EU,GR,GR-B,Pavlos Melas,null,null,null,null,"40.673913, 22.966597"
GR-0088,heliport,Papageorgiou Central Hospital Heliport,null,AS,GR,GR-B,Pavlos Melas,null,null,null,null,"40.677129, 22.96235"
GR-0089,small_airport,Skotina Airfield,7,EU,GR,GR-B,Dion-Olympos,null,null,null,null,"39.96895, 22.66324"
GR-0090,heliport,Megalopoli Airfield,1358,EU,GR,GR-G,Megalopoli,null,null,null,null,"37.43286, 22.10709"
GR-0091,heliport,Afidnai Heliport,null,EU,GR,GR-I,null,null,null,null,null,"38.19895, 23.85187"
GR-0092,heliport,Vatopedi Monastery Heliport,56,EU,GR,GR-AO,Agio Oros (Mount Athos),null,null,null,null,"40.317449, 24.214972"
GR-0093,heliport,Giannioti Watermill Heliport,3501,EU,GR,GR-C,Eordaia,null,null,null,null,"40.44124, 21.53112"
GR-0094,heliport,Gramos Heliport,4521,EU,GR,GR-C,Gramos,null,null,null,null,"40.39241, 20.83668"
GRC,small_airport,Grand Cess Airport,28,AF,LR,LR-GK,Grand Cess,null,GRC,null,null,"4.571, -8.2076"
GRH,closed,Garuahi Airport,50,OC,PG,PG-MBA,Garuahi,null,null,null,null,"-10.225149, 150.487667"
GS-0001,heliport,Grytviken Emergency Helipad,27,AN,GS,GS-U-A,Grytviken,null,null,null,null,"-54.2824, -36.5095"
GT-0001,small_airport,Chiquimula Airport,1484,NA,GT,GT-CQ,Chiquimula,null,CIQ,MGCQ,null,"14.83092, -89.520938"
